product_name,user_name,user_job_title,user_industry,user_company_size,used_years,rating_overall,rating_ease_of_use,rating_customer_support,rating_features_functionality,rating_value_for_money,rating_likelihood_to_recommend,review_title,review_time,software_pros,software_cons,software_overall_experience,software_comments,software_recommendations,product_id
Viedoc,Andries C.,"Associate Director, Biometrics",Research,201-500 employees,2+ years,4.0,5.0,4.0,4.0,5.0,4.5,Futuristic EDC,"Mar 23, 2017",Pros: Easy to use. Great design dynamics.,Cons: Not powerful/custom reporting.,"Overall: After 20 trials and counting, ViedocV4 has proven itself as one of the easiest and most reliable EDC systems on the market.  In addition to this, the training of site staff including PI's are fast, effective and effortless, as Viedoc is the most uncomplicated EDC platform ever experienced by Novotech and sites alike.  Site staff as the number one client in terms of end user, find Viedoc very ease of use and navigate.  This should be one of key factors and selling points when it comes to EDC platforms.  Viedoc ticks all the boxes for Novotech and site staff.  From a design perspective, we managed to save time by using libraries and the overall ease of designing complicated forms makes Viedoc a leader in EDC.  Edit check programming is very powerful and advanced checks is also possible with ease and basic programming skills.  The close relationship with the senior management at Viedoc as well as their developers, is unheard of in the EDC service industry.  The team is approachable, very professional and responds very quickly with any type of question.  I have always enjoyed working with Viedoc and look forward to do so in the future.",,Recommendations to other buyers: New version updates with added functionality.  I believe there is inadequate training associated with this.   ,0
Viedoc,Isabelle G.,Clinical Research Manager,Pharmaceuticals,1001-5000 employees,2+ years,5.0,5.0,5.0,4.0,5.0,5.0,8 years of experience with Viedoc,"Mar 22, 2017","Pros: user friendly, flexible tool, very reactive and agile support",Cons: reporting features could be improved (i.e. possibility to run report on missing forms/data). It would be great to have the possibility to run the monitoring report on the system (as on version 3). It would be great to use the landing page to share some study documents or key messages.,Overall: I have experienced Viedoc (version 3 and version 4) as well as Viedoc Me across various projects.,,Recommendations to other buyers: I think that the support currently provided to train the users can be improved. The idea of have short videos is very good and shall be developped. ,0
Viedoc,Mark W.,Vice President Data Services,Pharmaceuticals,51-200 employees,2+ years,5.0,4.0,5.0,4.0,5.0,4.5,Viedoc was designed with the  clinical site user in mind. ,"Apr 13, 2017",Pros: Ease of setup even for complex studies . Highly easy to navigate interface for users.  Fast performance. ,Cons: Nothing of any consequence. Perhaps a offline capability when internet or wifi is unavailable in certain countries or settings by this a very minor Con. ,"Overall: To often, eDC systems are designed primarily for Data managers, with the clinical site user ( who performs most of the work) as an afterthought. We have used Viedoc on dozens of studies and have received many unsolicited comments  from site users such as ""Viedoc is the easiest to use and navigate eDC system we have ever used.. "" or ""We are performing another study using a different eDC system and it takes us twice as long to enter subject data and answer queries.. we are recommending to the sponsor that they should use Viedoc for their next study... seriously."" ",,,0
Viedoc,Margreet o.,,,,,4.0,4.0,4.0,4.0,5.0,4.5,"Flexible and user-friendly, highly effective","Mar 28, 2017",,,,"Comments: As a small CRO in the orphan niche, we don't need all the bells and whistles (and the corresponding pricing model!).  What we do need is a flexible and user-friendly EDC solution, that allows us to adequately capture the data for our small (in terms of subject numbers) but often highly complex clinical trials for which every data-point matters. The expertise from the PCG solutions staff is a great support when designing effective data capture solutions. Our trials are often run by site staff that is not seasoned in the use of EDC systems, the Viedoc interface and the flow through the visits with the smart dynamics really helps them to adequately enter good quality data with minimal training efforts.  Setting up integrations for lab data can be a challenge, in our experience Viedoc is certainly capable to load results from not only the large central labs, but also from the small specialty labs, reducing the number of external datasets and streamlining the downstream programming. ",,0
Viedoc,Verified Reviewer,,Biotechnology,11-50 employees,2+ years,5.0,5.0,5.0,4.0,5.0,4.5,Very functional.   Streamlined design and setup. Tremendous support from start to finish.,"Apr 17, 2018","Pros: Overall ease of design, implementation and usability through all elements of a study.  The design, UAT and start up processes allow us to get to study start faster and with less cost than other systems.  The system's intuitive and attractive interface makes it easy for users to come up to speed in a short amount of time.  On the backend, the available data management tools are helpful during the study and quite sound for managing final study data.","Cons: The need to jump in and out of the AE, Conmed and Med History pages to find sequence numbers for related items is inconvenient.   Also, the  lack of autopopulation for Conmeds from the WHO Drug dictionary is also inconvenient, although I understand that may not be an issue in PCG's control.",,,,0
Viedoc,Philippe G.,Clinical Data Group Leader,Pharmaceuticals,1001-5000 employees,2+ years,4.0,5.0,4.0,4.0,5.0,4.5,User friendly and Good value EDC ,"Mar 22, 2017",Pros: user interface,Cons: Lack of on line reporting (only some metrics are available),Overall: We have several studies up and running. Interface design is not only good looking : it offers large capabilities in terms of dynamism. Main weak point is the lack of adhoc on-line reporting.,,,0
Viedoc,Mykola K.,Clinical Data Manager,Biotechnology,51-200 employees,6-12 months,4.0,5.0,5.0,4.0,5.0,4.5,Very good system with excellent service quality,"Jan 21, 2019",Pros: - Comprehensive online and video tutorials for system users.,Cons: - Loading large EDC Forms can take too much time.,Overall: As Clinical Data Manager I would gladly prepare and conduct further Clinical Trials in Viedoc. ,,,0
Viedoc,Cecilie M.,Head of section Datamanagement,,,2+ years,5.0,5.0,5.0,5.0,5.0,4.5,Viedoc provides an intuitive user interface and has the functionality required of an eCRF.,"Feb 26, 2018",Pros: We have been working with Viedoc for more than three years and are using the system for more than 40 studies. The support and service provided during these years by PCG Solutions has been very good and we look forward to more studies going live in Viedoc. ,Cons: The absence of the  functionality of printing Serious Adverse Event and monitoring report forms forms.,,,,0
Viedoc,Bradley J.,Consultant/Chief Scientific Officer,Biotechnology,51-200 employees,2+ years,5.0,5.0,5.0,5.0,5.0,5.0,"Viedoc, EDC keeping pace with modern, evolving clinical data capture requirements ","Mar 26, 2017",,,,"Comments: Data drives the decision making of modern clinical design and study implementation. To achieve the effectiveness and efficiency created by adaptive and other modern designs, data capture systems must be flexible, simple to navigate and intuitive. Viedoc is the best system I have used to achieve this for both the eCRF builder and the end user. Without saying, it incorporated all the data coding conventions required and enabled me to consolidate and integrate data from multiple studies/sources. Glad to see an EDC company in the clinical research space use contemporary data management ideas to match requirements of modern clinical data capture. ",,0
Viedoc,Rolf Z.,Head Data Managment,Biotechnology,51-200 employees,6 months,4.0,5.0,5.0,3.0,5.0,4.0,Customer satisfaction note,"Jan 16, 2019",Pros: versatility in assigning complex study schedules and dynamic forms,Cons: that signing forms available for deleting study subjects  can't be implemented for forms like eligibility,"Overall: We discovered that setup times are substantially reduced and functionality of edit checks (in simple settings) works nearly flawless. In consequence the acceptance of the first live study regarding usability, provides an optimistic projection regarding the need for bug fixes. PCG has delivered substantial input to achieve this success.",,,0
