Number of topics	2
Topic 0	药物  公司  平安  病变  瑞德  疫苗  诊断  患者  制药  西韦  病毒  辅助  这种  肺部  一种  感染  技术  冠状病毒  新药  抑制  郭佑民  人工智能  蛋白质  风湿性关节炎  服用
Topic 1	药物  公司  患者  病变  平安  诊断  技术  病毒  人工智能  制药  一种  疫苗  新药  试验  西韦  这种  能够  治疗  瑞德  医药  氯喹  辅助  法匹拉韦  找到  质量
Document 1	[(0, 0.39189044), (1, 0.6081096)]
Document 2	[(0, 0.3782883), (1, 0.6217117)]
Document 3	[(0, 0.4142828), (1, 0.58571714)]
Document 4	[(0, 0.46435776), (1, 0.53564227)]
Document 5	[(0, 0.3535005), (1, 0.64649945)]
Document 6	[(0, 0.043832276), (1, 0.9561677)]
Document 7	[(0, 0.82659894), (1, 0.17340104)]
Document 8	[(1, 0.99865264)]
Document 9	[(1, 0.9984427)]
Document 10	[(1, 0.9986524)]
Document 11	[(1, 0.99850774)]
Document 12	[(0, 0.08454325), (1, 0.9154567)]
Document 13	[(0, 0.93664235), (1, 0.063357644)]
Document 14	[(0, 0.34571773), (1, 0.6542823)]
Document 15	[(1, 0.9958119)]
Document 16	[(0, 0.3027845), (1, 0.69721544)]
Document 17	[(1, 0.9962565)]
Document 18	[(0, 0.69870895), (1, 0.30129105)]
Document 19	[(1, 0.9981769)]
Document 20	[(0, 0.9574603), (1, 0.042539746)]
Document 21	[(0, 0.38998124), (1, 0.61001873)]
Document 22	[(0, 0.5305123), (1, 0.46948767)]
Document 23	[(1, 0.99626803)]
Document 24	[(0, 0.45510587), (1, 0.54489416)]
Document 25	[(0, 0.43462375), (1, 0.5653762)]
Document 26	[(0, 0.4682604), (1, 0.5317396)]
Document 27	[(0, 0.66564035), (1, 0.33435962)]
Document 28	[(0, 0.96471614), (1, 0.035283823)]
Document 29	[(1, 0.9968178)]
Document 30	[(0, 0.96458066), (1, 0.035419382)]
Document 31	[(1, 0.9958557)]
Document 32	[(1, 0.9941244)]
Document 33	[(0, 0.010936081), (1, 0.9890639)]
Document 34	[(0, 0.23181741), (1, 0.76818264)]
Document 35	[(1, 0.99678814)]
Document 36	[(0, 0.0114031425), (1, 0.98859686)]
Document 37	[(0, 0.9586407), (1, 0.041359305)]
Document 38	[(0, 0.991108)]
Document 39	[(0, 0.3978887), (1, 0.60211134)]
Document 40	[(0, 0.4012043), (1, 0.59879565)]
Document 41	[(0, 0.4303622), (1, 0.56963784)]
Document 42	[(0, 0.45696294), (1, 0.54303706)]
Document 43	[(0, 0.3933812), (1, 0.60661876)]
Document 44	[(0, 0.03743758), (1, 0.96256244)]
Document 45	[(0, 0.8581361), (1, 0.14186387)]
Document 46	[(1, 0.9986518)]
Document 47	[(1, 0.99820626)]
Document 48	[(1, 0.9986513)]
Document 49	[(1, 0.99853396)]
Document 50	[(0, 0.087459266), (1, 0.91254073)]
Document 51	[(0, 0.9523142), (1, 0.04768583)]
Document 52	[(0, 0.3270135), (1, 0.6729865)]
Document 53	[(1, 0.9958389)]
Document 54	[(0, 0.28282315), (1, 0.71717685)]
Document 55	[(1, 0.99629724)]
Document 56	[(0, 0.7170696), (1, 0.2829304)]
Document 57	[(1, 0.99810785)]
Document 58	[(0, 0.95833415), (1, 0.04166587)]
Document 59	[(0, 0.3904559), (1, 0.60954404)]
Document 60	[(0, 0.48759574), (1, 0.5124042)]
Document 61	[(1, 0.99626863)]
Document 62	[(0, 0.34900832), (1, 0.6509917)]
Document 63	[(0, 0.44200352), (1, 0.55799645)]
Document 64	[(0, 0.38793293), (1, 0.612067)]
Document 65	[(0, 0.5866018), (1, 0.41339824)]
Document 66	[(1, 0.99681664)]
Document 67	[(0, 0.96437794), (1, 0.03562204)]
Document 68	[(1, 0.99585336)]
Document 69	[(1, 0.99382985)]
Document 70	[(0, 0.013334485), (1, 0.9866655)]
Document 71	[(0, 0.014413086), (1, 0.9855869)]
Document 72	[(0, 0.19321734), (1, 0.80678266)]
Document 73	[(1, 0.9968378)]
Document 74	[(1, 0.990729)]
Document 75	[(0, 0.9593818), (1, 0.040618233)]
Document 76	[(0, 0.99110657)]
Document 77	[(1, 0.99683905)]
Document 78	[(0, 0.4544677), (1, 0.5455323)]
Document 79	[(0, 0.044248216), (1, 0.9557518)]
Document 80	[(0, 0.8703214), (1, 0.12967864)]
Document 81	[(0, 0.5625025), (1, 0.43749753)]
Document 82	[(0, 0.06557276), (1, 0.93442726)]
Document 83	[(0, 0.920248), (1, 0.079752)]
Document 84	[(1, 0.99596924)]
Document 85	[(0, 0.21549349), (1, 0.78450656)]
Document 86	[(0, 0.67560625), (1, 0.32439372)]
Document 87	[(1, 0.9989188)]
Document 88	[(0, 0.16590469), (1, 0.8340953)]
Document 89	[(0, 0.055067986), (1, 0.944932)]
Document 90	[(0, 0.10145048), (1, 0.89854956)]
Document 91	[(0, 0.14619064), (1, 0.8538093)]
Document 92	[(0, 0.5879666), (1, 0.41203344)]
Document 93	[(0, 0.35545194), (1, 0.64454806)]
Document 94	[(0, 0.09206462), (1, 0.90793544)]
Document 95	[(0, 0.8210134), (1, 0.17898667)]
Document 96	[(0, 0.022891046), (1, 0.977109)]
Document 97	[(0, 0.01858774), (1, 0.98141223)]
Document 98	[(1, 0.9904483)]
Document 99	[(0, 0.40754068), (1, 0.5924593)]
Document 100	[(0, 0.7866599), (1, 0.21334013)]
Document 101	[(1, 0.9950639)]
Document 102	[(1, 0.9956732)]
Document 103	[(0, 0.37006238), (1, 0.62993765)]
Document 104	[(0, 0.3611498), (1, 0.6388502)]
Document 105	[(0, 0.21023285), (1, 0.78976715)]
Document 106	[(0, 0.10844209), (1, 0.89155793)]
Document 107	[(0, 0.18480194), (1, 0.815198)]
Document 108	[(0, 0.58591485), (1, 0.41408518)]
Document 109	[(0, 0.3667964), (1, 0.6332036)]
Document 110	[(0, 0.7263735), (1, 0.27362654)]
Document 111	[(0, 0.8272804), (1, 0.17271954)]
Document 112	[(1, 0.99305475)]
Document 113	[(0, 0.028007245), (1, 0.9719928)]
Document 114	[(0, 0.2238271), (1, 0.77617294)]
Document 115	[(0, 0.05754764), (1, 0.9424524)]
Document 116	[(1, 0.9933331)]
Document 117	[(0, 0.103518516), (1, 0.89648145)]
Document 118	[(0, 0.95455796), (1, 0.045442104)]
Document 119	[(0, 0.97965634), (1, 0.020343633)]
Document 120	[(0, 0.77772725), (1, 0.22227274)]
Document 121	[(0, 0.90962017), (1, 0.09037987)]
Document 122	[(0, 0.010311425), (1, 0.9896886)]
Document 123	[(0, 0.42701578), (1, 0.5729842)]
Document 124	[(0, 0.9761378), (1, 0.023862202)]
