product_name,tags,starting_price,pricing_details,free_version,free_trial/free_demo,deployment,training,support,Category_Features,Category_Features_List,product_id,starting_price_method,starting_price_num,starting_price_method_fill,starting_price_num_fill
Viedoc,"Free Demo, Pricing",Not provided by vendor,,,"Yes,           , get a free demo","Cloud,SaaS,Web","Documentation,Webinars,LiveOnline","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",0,Not provided by vendor,inf,year,374.72
Castor EDC,"Free Trial, Free Demo, Pricing, Features, Security",$375.00/year,Castor EDC is FREE for small studies!,Yes,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours","Electronic Data Capture Features, Clinical Trial Management Features","{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'},{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'disabled', 'Scheduling': 'disabled', 'Study Planning': 'disabled'}",1,year,375.0,year,375.0
OnlineCRF,"Free Trial, Free Demo, Pricing, Company, Overview",Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",2,Not provided by vendor,inf,year,542.24
Clinical Studio,"Free Trial, Free Demo, Pricing",$449.00/month,Per study-unlimited sites & users. Free to Academia. Less for Pre-Clinical.,Yes,,"Cloud,SaaS,Web,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Electronic Data Capture Features, Clinical Trial Management Features","{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'},{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'disabled', 'Recruiting Management': 'disabled', 'Scheduling': 'able', 'Study Planning': 'able'}",3,month,449.0,month,449.0
Data+ Platform,Free Demo,"$12,000.00/year/user",,,"Yes,           , get a free demo","Cloud,SaaS,Web","Documentation,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Electronic Data Capture Features, Clinical Trial Management Features, Laboratory Information Management System Features, Patient Engagement Features","{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'},{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'disabled', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'able', 'Scheduling': 'able', 'Study Planning': 'able'},{'Audit Trail': 'able', 'Certificates of Analysis': 'disabled', 'Data Import / Export': 'able', 'Electronic Laboratory Notebook': 'able', 'Inventory Management': 'able', 'Lab Instrument Interface': 'able', 'Reporting & Statistics': 'able', 'Sample Tracking': 'able', 'Specification Management': 'able', 'Workflow Management': 'able'},{'Appointment Scheduling': 'disabled', 'Care Planning': 'disabled', 'Collaboration': 'disabled', 'Messaging': 'disabled', 'Mobile Access': 'able', 'Patient Education': 'able', 'Patient Portal': 'able', 'Personal Health Record': 'able', 'Progress Tracking': 'able', 'Self Management': 'disabled'}",4,year/user,12000.0,year/user,12000.0
DocuPhase,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Document Management Features, Accounts Payable Features, Accounts Receivable Features, Billing and Invoicing Features, Claims Processing Features, Contract Management Features, Data Entry Features, Document Control Features, Document Version Control Features, Electronic Data Capture Features, Enterprise Content Management Features, Forms Automation Features, Innovation Features, OCR Features","{'Collaboration Tools': 'able', 'Compliance Tracking': 'able', 'Document Archiving': 'able', 'Document Assembly': 'disabled', 'Document Indexing': 'able', 'Document Retention': 'able', 'Electronic Signature': 'able', 'File Recovery': 'able', 'File Type Conversion': 'disabled', 'Offline Access': 'able', 'Optical Character Recognition': 'able', 'Version Control': 'able'},{},{},{},{},{'Buy Side (Suppliers)': 'disabled', 'Completion Tracking': 'disabled', 'Compliance Tracking': 'disabled', 'Contract Lifecycle Management': 'disabled', 'Electronic Signature': 'able', 'Full Text Search': 'disabled', 'Government Contracts': 'disabled', 'Pre-built Templates': 'able', 'Sell Side (Customers)': 'disabled', 'Specialty Contracts': 'disabled', 'Version Control': 'able', 'Workflow Management': 'disabled'},{},{},{},{},{'Archiving & Retention': 'able', 'Collaboration Tools': 'able', 'Content Lifecycle Management': 'able', 'Digital Asset Management': 'able', 'Document Management': 'able', 'Electronic Signature': 'able', 'Information Governance': 'able', 'Mobile Access': 'able', 'Search': 'able', 'Version Control': 'able', 'Workflow Management': 'able'},{},{},{}",5,Not provided by vendor,inf,year/user,7140.94
Ephesoft Transact,,Not provided by vendor,,,,"Cloud,SaaS,Web,Installed-Windows","LiveOnline,InPerson",BusinessHours,"Data Extraction Features, Electronic Data Capture Features","{'Disparate Data Collection': 'able', 'Document Extraction': 'able', 'Email Address Extraction': 'able', 'Image Extraction': 'disabled', 'IP Address Extraction': 'disabled', 'Phone Number Extraction': 'able', 'Pricing Extraction': 'disabled', 'Web Data Extraction': 'disabled'},{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",6,Not provided by vendor,inf,year,173.35
Square 9 GlobalCapture,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,Webinars,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",7,Not provided by vendor,inf,one-time/user,70.85
ABBYY FlexiCapture,,$169.00,,Yes,,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows,Mobile-AndroidNative,Mobile-iOSNative",,,"Accounts Payable Features, Electronic Data Capture Features","{'Approval Process Control': 'able', 'Bank Reconciliation': 'disabled', 'Cash Management': 'able', 'Check Printing': 'disabled', 'Duplicate Payment Alert': 'disabled', 'Fraud Detection': 'able', 'General Ledger Entry': 'disabled', 'Vendor Management': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'disabled', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",8,Not provided by vendor,169.0,year/user,169.0
Poimapper,,$9.95/month/user,"Two pricing options, user based and usage based.",Yes,,"Cloud,SaaS,Web,Mobile-AndroidNative","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours","Field Service Management Features, Electronic Data Capture Features, Inspection Features","{'Billing & Invoicing': 'disabled', 'Contact Database': 'able', 'Contract Management': 'disabled', 'Dispatching': 'disabled', 'Electronic Signature': 'able', 'Inventory Management': 'able', 'Mobile Access': 'able', 'Payment Collection in the Field': 'disabled', 'Quotes/Estimates': 'able', 'Routing': 'disabled', 'Scheduling': 'able', 'Service History Tracking': 'able', 'Time Clock': 'able', 'Work Order Management': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'},{'Appointment Management': 'able', 'Customer Database': 'able', 'Dispatch Management': 'disabled', 'Equipment Tracking': 'disabled', 'Photos In Reports': 'able', 'Print on Site': 'disabled', 'Report Templates': 'able', 'Speech Recognition': 'disabled', 'Subcontractor Management ': 'disabled'}",9,month/user,9.95,month/user,9.95
