Number of topics	2
Topic 0	病变  药物  病毒  公司  疫苗  患者  技术  诊断  制药  人工智能  平安  氯喹  西韦  瑞德  辅助  一种  新药  医药  科技  治疗  感染  新型  成本  细胞  影像
Topic 1	药物  平安  公司  病变  诊断  患者  制药  这种  瑞德  一种  疫苗  新药  西韦  人工智能  技术  郭佑民  辅助  能够  病毒  试验  找到  肺部  风湿性关节炎  抑制  诊断系统
Document 1	[(1, 0.9984122)]
Document 2	[(1, 0.99875927)]
Document 3	[(1, 0.998737)]
Document 4	[(1, 0.998796)]
Document 5	[(1, 0.99632406)]
Document 6	[(1, 0.991446)]
Document 7	[(0, 0.03731014), (1, 0.9626899)]
Document 8	[(0, 0.1481864), (1, 0.8518136)]
Document 9	[(0, 0.2686373), (1, 0.7313627)]
Document 10	[(0, 0.18562442), (1, 0.81437564)]
Document 11	[(0, 0.18398936), (1, 0.8160106)]
Document 12	[(0, 0.32994798), (1, 0.67005205)]
Document 13	[(0, 0.052803226), (1, 0.9471968)]
Document 14	[(1, 0.99649817)]
Document 15	[(1, 0.9962901)]
Document 16	[(0, 0.016117718), (1, 0.98388225)]
Document 17	[(1, 0.9963944)]
Document 18	[(1, 0.99775714)]
Document 19	[(0, 0.33902404), (1, 0.660976)]
Document 20	[(1, 0.99305475)]
Document 21	[(1, 0.99877584)]
Document 22	[(0, 0.0373046), (1, 0.9626954)]
Document 23	[(1, 0.99497014)]
Document 24	[(1, 0.99875236)]
Document 25	[(1, 0.99881166)]
Document 26	[(1, 0.99876165)]
Document 27	[(0, 0.27710757), (1, 0.72289246)]
Document 28	[(0, 0.973271), (1, 0.026728965)]
Document 29	[(0, 0.9737816), (1, 0.02621842)]
Document 30	[(0, 0.9732813), (1, 0.02671867)]
Document 31	[(1, 0.99455696)]
Document 32	[(0, 0.43477303), (1, 0.565227)]
Document 33	[(0, 0.09642063), (1, 0.90357935)]
Document 34	[(0, 0.013210406), (1, 0.9867896)]
Document 35	[(0, 0.99591917)]
Document 36	[(0, 0.6590466), (1, 0.3409534)]
Document 37	[(1, 0.99653476)]
Document 38	[(0, 0.8884582), (1, 0.11154182)]
Document 39	[(1, 0.9984031)]
Document 40	[(1, 0.99875927)]
Document 41	[(1, 0.9987372)]
Document 42	[(1, 0.99879587)]
Document 43	[(1, 0.9963238)]
Document 44	[(1, 0.9919473)]
Document 45	[(0, 0.048582092), (1, 0.9514179)]
Document 46	[(0, 0.18444301), (1, 0.815557)]
Document 47	[(0, 0.29741976), (1, 0.7025802)]
Document 48	[(0, 0.14375831), (1, 0.8562417)]
Document 49	[(0, 0.21951777), (1, 0.78048223)]
Document 50	[(0, 0.20557976), (1, 0.79442024)]
Document 51	[(0, 0.04226604), (1, 0.957734)]
Document 52	[(1, 0.9964978)]
Document 53	[(1, 0.99628973)]
Document 54	[(0, 0.01421434), (1, 0.98578566)]
